rule,depth,lyapunov,activity_pct,lifelike_pct,acceptance_ratio,attempt_rate
110,1,0.111,42.4,100.0,1.000,0.424
110,2,0.112,21.0,100.0,0.500,0.421
110,3,0.069,13.9,100.0,0.334,0.417
110,4,0.080,10.4,100.0,0.250,0.415
110,6,0.059,7.0,100.0,0.168,0.415
110,8,0.034,5.2,100.0,0.126,0.413
110,12,0.035,3.5,100.0,0.084,0.413
30,1,0.129,49.8,0.0,1.000,0.498
30,2,0.075,25.0,13.3,0.500,0.500
30,4,0.075,12.5,13.3,0.250,0.500
30,8,0.040,6.2,20.0,0.125,0.500
30,10,0.030,5.0,16.7,0.100,0.500
30,12,0.025,4.2,33.3,0.083,0.500
90,1,0.069,50.3,0.0,1.000,0.503
90,2,0.069,25.0,3.3,0.500,0.500
90,4,0.069,12.5,13.3,0.250,0.500
90,8,0.035,6.2,23.3,0.125,0.500
90,12,0.020,4.2,16.7,0.083,0.500
150,1,0.110,50.3,0.0,1.000,0.503
150,2,0.110,25.0,3.3,0.500,0.500
150,4,0.080,12.5,6.7,0.250,0.500
150,5,0.065,10.0,6.7,0.200,0.500
150,7,0.045,7.1,16.7,0.143,0.500
150,8,0.040,6.2,6.7,0.125,0.500
54,1,0.093,42.0,86.7,1.000,0.420
54,2,0.075,21.0,80.0,0.500,0.420
54,4,0.075,10.5,66.7,0.250,0.420
54,8,0.050,5.2,50.0,0.125,0.420
54,12,0.035,3.5,83.3,0.083,0.420
2DCA,1,0.191,35.0,100.0,1.000,0.350
2DCA,2,0.152,17.5,100.0,0.500,0.350
2DCA,4,0.137,8.8,100.0,0.250,0.350
2DCA,8,0.050,4.4,100.0,0.125,0.350
2DCA,12,0.025,2.9,100.0,0.083,0.350
